file_name,duration(seconds),call_id,agent_name
98249150774.wav,107,3023,George
96239259970.wav,148,3001,Sarah
96500088234.wav,266,3044,Margaret
92624530855.wav,54,3046,Carol
93478778624.wav,75,3004,Brian
94263505118.wav,288,3033,Patricia
93117770931.wav,104,3046,Sandra
96641436542.wav,131,3036,Paul
98856448675.wav,353,3009,Anthony
98363679226.wav,106,3020,George
90279424136.wav,350,3045,Robert
99586098585.wav,31,3047,Barbara
91714550676.wav,51,3031,Ashley
93353729671.wav,121,3045,Donna
92445670966.wav,124,3044,Mark
96820760604.wav,7,3011,Emily
94439917119.wav,354,3025,Joseph
97958655846.wav,76,3003,Thomas
90054497867.wav,343,3032,Ashley
93785062920.wav,177,3038,Charles
96999484246.wav,341,3043,William
95983054802.wav,268,3005,Matthew
93951776513.wav,96,3006,Ashley
98037275727.wav,303,3010,Mary
91402671364.wav,247,3030,Kimberly
94752197680.wav,34,3016,Kenneth
98350312540.wav,227,3014,Joshua
90422881847.wav,141,3036,Joseph
90772956523.wav,305,3003,Susan
90404718128.wav,197,3030,Daniel
91566141705.wav,166,3020,Jessica
98470620243.wav,132,3019,Emily
90671348014.wav,283,3028,Daniel
94779951207.wav,281,3045,Sandra
92307009545.wav,332,3042,Margaret
99861615598.wav,131,3000,Patricia
93119039801.wav,208,3003,Kevin
99726081980.wav,80,3038,Thomas
92294421314.wav,320,3015,Lisa
95661867376.wav,262,3047,Thomas
96449215324.wav,189,3021,Susan
91600154756.wav,126,3017,Margaret
95549861392.wav,111,3015,Jennifer
95161908041.wav,262,3014,Jessica
91028455471.wav,21,3009,Charles
92404957275.wav,211,3041,Carol
98305651486.wav,77,3044,Nancy
93781628061.wav,227,3005,Sandra
95922379712.wav,304,3028,John
92807219640.wav,387,3040,Joseph
93655794145.wav,234,3012,Sandra
90034195802.wav,140,3012,Mark
97871980875.wav,29,3008,Donald
98957636282.wav,274,3043,Daniel
96322899594.wav,280,3046,Carol
91782128527.wav,34,3026,Robert
91582848543.wav,170,3001,Elizabeth
98337913923.wav,381,3021,Nancy
93580510073.wav,106,3017,Thomas
92437432543.wav,166,3028,Michael
94035361564.wav,108,3014,Margaret
93992522578.wav,76,3014,Patricia
90766366834.wav,346,3003,Mark
96934072079.wav,391,3029,Sarah
92203060223.wav,223,3037,Nancy
96214906558.wav,122,3015,Melissa
99950495683.wav,156,3009,Nancy
97485671469.wav,305,3038,Sandra
98561707287.wav,219,3002,Kenneth
99735460822.wav,319,3031,Paul
98046928358.wav,22,3039,Melissa
98572009213.wav,209,3014,Michael
94701755452.wav,75,3031,Barbara
91035655278.wav,200,3011,Kimberly
96061275238.wav,95,3044,Steven
97046887143.wav,16,3031,Kimberly
94887300405.wav,49,3006,Donna
96159427812.wav,247,3038,William
95482710848.wav,309,3043,Paul
90745149273.wav,2,3024,Donna
91335947189.wav,23,3003,Kimberly
93055472157.wav,98,3009,Kimberly
90604362551.wav,93,3007,Joshua
99188372502.wav,289,3021,Donna
90975385193.wav,55,3036,Karen
91176084149.wav,152,3043,Carol
90989845018.wav,101,3041,Brian
93557172565.wav,301,3005,Joseph
99367159650.wav,45,3000,Sandra
94473527832.wav,265,3019,Jessica
99068604755.wav,318,3034,Sarah
90834573265.wav,129,3036,Sarah
91210179641.wav,181,3010,Charles
97612075032.wav,275,3010,Margaret
95289130604.wav,236,3043,Joseph
90314736010.wav,163,3040,Carol
91746626366.wav,41,3037,Paul
95544443255.wav,341,3033,Mary
91239239960.wav,59,3012,Margaret
99086053669.wav,259,3023,Kevin
97369649449.wav,173,3010,Betty
94835608340.wav,378,3023,Andrew
97799848547.wav,282,3044,Daniel
95528651234.wav,246,3041,Jessica
95312062047.wav,295,3014,Brian
98466523617.wav,223,3043,Joshua
98588779499.wav,246,3002,Lisa
98253060162.wav,23,3000,Margaret
96930874861.wav,360,3012,Ashley
98306058939.wav,186,3035,Jessica
94211767720.wav,328,3015,John
92051915833.wav,126,3001,Linda
94143499175.wav,49,3004,Amanda
95579644587.wav,39,3024,Carol
97528172555.wav,264,3029,Daniel
99570432707.wav,230,3038,Anthony
91404835297.wav,256,3021,Emily
97802103455.wav,280,3039,Elizabeth
95522374837.wav,252,3004,Patricia
99098576083.wav,37,3018,Barbara
99461005149.wav,328,3049,Lisa
92030393852.wav,133,3021,John
97407936173.wav,11,3017,Ashley
98817690591.wav,391,3027,Barbara
98822219785.wav,291,3049,Joseph
97006218162.wav,284,3039,Matthew
92817685363.wav,84,3016,Steven
95672846133.wav,297,3016,Steven
97915611150.wav,277,3024,Matthew
98946289581.wav,329,3014,Jennifer
95047546531.wav,262,3020,Kevin
90572334590.wav,295,3017,Amanda
