file_name,duration(seconds),call_id,agent_name
94334001260.wav,379,3004,Elizabeth
90450077962.wav,202,3001,John
97198896470.wav,126,3003,Jessica
95611725617.wav,188,3025,Jessica
99755640847.wav,171,3038,Brian
90639467582.wav,212,3043,Charles
91412204794.wav,108,3038,Nancy
98166201993.wav,129,3039,Joshua
96603649489.wav,373,3014,Jennifer
99195587184.wav,175,3007,Michelle
96301496741.wav,169,3029,Sandra
90016027193.wav,346,3044,Michelle
93882414940.wav,96,3033,Christopher
96380051456.wav,319,3042,Charles
94727572181.wav,68,3004,Robert
96244424471.wav,263,3032,Emily
91050646105.wav,164,3021,Melissa
91316142133.wav,64,3046,Ashley
97705829461.wav,127,3009,Patricia
90907271937.wav,205,3005,Michelle
97201817590.wav,381,3042,Linda
93048349920.wav,327,3031,Margaret
99606277717.wav,287,3008,Kimberly
97959338356.wav,397,3016,Brian
96371683990.wav,141,3029,Carol
93267450187.wav,372,3006,Jessica
92779384566.wav,299,3010,Jessica
91146076667.wav,205,3038,Betty
97962734002.wav,182,3019,Jennifer
98000750778.wav,198,3026,George
99826345690.wav,328,3008,Sandra
91785351474.wav,187,3046,William
91280452793.wav,23,3048,Michelle
99500433907.wav,212,3009,Mary
91596487553.wav,292,3008,Sarah
98959812178.wav,364,3013,Linda
94280170180.wav,389,3031,Dorothy
96718380052.wav,400,3043,Margaret
95196515162.wav,152,3011,Patricia
95616405488.wav,316,3036,Betty
95592887788.wav,290,3006,Patricia
98215945517.wav,32,3007,Donald
98832997741.wav,178,3036,Kimberly
97478676331.wav,126,3002,Sandra
92660742215.wav,130,3024,Kenneth
96596731486.wav,113,3046,Elizabeth
96724596441.wav,218,3031,Sarah
94702724266.wav,39,3032,Linda
97889221274.wav,303,3044,Mary
98211240537.wav,196,3045,David
97822704718.wav,168,3026,Michelle
95837948230.wav,245,3009,Christopher
90188478962.wav,31,3023,John
95782235405.wav,136,3016,Thomas
97978844280.wav,385,3040,Amanda
95274384583.wav,117,3009,Donald
98774820577.wav,19,3050,David
90506009186.wav,295,3029,Anthony
94528752322.wav,43,3048,Susan
99571304699.wav,217,3014,Karen
92301138984.wav,123,3022,Kenneth
90674156267.wav,353,3021,Kimberly
97578641880.wav,150,3010,Mark
93049159254.wav,90,3050,Robert
97448667563.wav,277,3023,Brian
94483699891.wav,108,3040,Steven
98810288178.wav,181,3021,Kenneth
91330190845.wav,19,3013,Richard
96481347763.wav,382,3028,Donald
99964382383.wav,146,3010,Elizabeth
92783306788.wav,182,3040,David
94159166090.wav,139,3013,Charles
96181288998.wav,1,3031,William
91738714223.wav,86,3049,Daniel
92137392151.wav,226,3009,Patricia
90920698365.wav,277,3018,Michael
95514693183.wav,350,3015,Michelle
91772624512.wav,171,3026,Karen
96414746001.wav,32,3030,George
90622938975.wav,309,3022,Sarah
92993939083.wav,99,3037,Barbara
91472686364.wav,280,3017,Andrew
94386159877.wav,77,3014,Anthony
99885813474.wav,8,3048,Richard
94198803671.wav,4,3033,Sandra
96015550115.wav,330,3047,Dorothy
93208906448.wav,192,3009,Matthew
98528464601.wav,380,3010,Dorothy
95378657777.wav,46,3019,Jennifer
96192660579.wav,56,3013,Michael
92245850353.wav,119,3017,Patricia
93957168996.wav,90,3003,Richard
98207208228.wav,108,3044,Steven
95168552051.wav,325,3003,Michelle
92345675059.wav,38,3035,Nancy
93367555383.wav,131,3009,Daniel
98303661450.wav,42,3027,Kenneth
90981641390.wav,44,3028,Linda
97865404552.wav,3,3005,Daniel
94540935074.wav,334,3013,Anthony
97230210339.wav,228,3031,Michael
99094042866.wav,306,3025,Susan
90826079311.wav,339,3048,Betty
97419027005.wav,155,3010,Betty
90348246851.wav,335,3047,Susan
98141436862.wav,187,3011,Brian
93515581179.wav,12,3040,Michael
97966884711.wav,192,3030,Mark
99492753080.wav,91,3032,Mary
90057696789.wav,270,3042,Donna
93650788844.wav,134,3032,Donald
99699540270.wav,131,3026,Sandra
90304777801.wav,322,3025,Mark
91415566512.wav,122,3024,Sandra
96962833296.wav,150,3047,George
90197155900.wav,342,3020,Michael
98443652466.wav,13,3032,Barbara
97391799695.wav,12,3017,Brian
97157912831.wav,320,3032,Lisa
98825265151.wav,359,3036,Kimberly
97260794593.wav,291,3048,Lisa
91524068717.wav,38,3015,Margaret
90720122480.wav,374,3020,Joshua
98180879341.wav,133,3004,Steven
93453345776.wav,260,3007,Andrew
93424513927.wav,196,3036,Dorothy
97341236109.wav,9,3025,Betty
91177234365.wav,63,3016,Steven
95326423552.wav,263,3019,Anthony
91282093818.wav,54,3022,Steven
92306298390.wav,1,3015,Michelle
94650051755.wav,67,3027,Jessica
97967705310.wav,290,3014,Jessica
90022493412.wav,128,3033,Betty
97444116138.wav,164,3013,Brian
95099481472.wav,386,3039,Patricia
94338831602.wav,119,3046,Matthew
96102426487.wav,394,3041,Kenneth
92775545097.wav,61,3035,Christopher
98832493810.wav,258,3047,Christopher
98055168819.wav,55,3003,Steven
94399400260.wav,342,3002,Christopher
92138896246.wav,148,3037,Dorothy
95977883454.wav,263,3034,Donald
91390442525.wav,282,3019,Kenneth
96975124021.wav,95,3016,Linda
97622705052.wav,121,3027,Kimberly
95221351662.wav,205,3000,John
92626021502.wav,18,3040,Linda
99464071504.wav,3,3030,Daniel
96249526406.wav,49,3032,Amanda
90079053811.wav,356,3016,Jennifer
93547861513.wav,70,3002,Elizabeth
94984729345.wav,83,3045,Susan
90510419952.wav,158,3025,Carol
91543524878.wav,334,3022,Anthony
95281636180.wav,12,3034,Margaret
90115227610.wav,115,3001,Sarah
97945523256.wav,323,3000,Jennifer
98865040918.wav,128,3036,Steven
92210424726.wav,144,3028,Linda
91277746209.wav,79,3043,Amanda
99913872745.wav,100,3003,Kevin
98965822072.wav,201,3000,Thomas
91219181039.wav,214,3009,Barbara
94306802184.wav,389,3041,Mark
99001249242.wav,360,3002,Ashley
90160468936.wav,399,3015,Betty
97036590177.wav,35,3006,Michael
92348358412.wav,164,3035,Margaret
95394782336.wav,186,3043,Christopher
91225720338.wav,274,3024,Paul
96026072599.wav,145,3039,Amanda
93967383228.wav,149,3023,Daniel
99482161655.wav,147,3047,Linda
92493815998.wav,391,3033,Andrew
91822909461.wav,246,3031,Mary
91386530674.wav,259,3044,Paul
95505421388.wav,94,3039,Carol
97355464886.wav,256,3050,Betty
90982246617.wav,272,3003,Ashley
95125842253.wav,89,3034,Brian
98976641108.wav,15,3008,Matthew
94307256331.wav,269,3037,Christopher
92210174081.wav,112,3030,Jessica
92766498080.wav,363,3007,Susan
95165474017.wav,269,3049,Michael
95586329178.wav,93,3034,Christopher
93531484711.wav,386,3038,Donald
97139416222.wav,258,3034,Brian
96909725966.wav,334,3046,Nancy
94280477709.wav,157,3007,Dorothy
95814622596.wav,347,3039,Charles
92454936720.wav,303,3012,John
96972276511.wav,73,3035,Anthony
96764738142.wav,388,3047,Patricia
98609391395.wav,185,3014,Daniel
99041104546.wav,193,3016,Patricia
96648924972.wav,27,3006,Joshua
