file_name,duration(seconds),call_id,agent_name
93274754233.wav,364,3018,Ashley
96224098229.wav,119,3047,Karen
92036644166.wav,256,3048,Elizabeth
90560148309.wav,133,3038,Daniel
91036520928.wav,325,3047,Karen
93816512455.wav,349,3024,Betty
96190954659.wav,350,3011,Andrew
98403843128.wav,316,3002,Joshua
91494955321.wav,179,3039,Mary
91875616858.wav,313,3006,Lisa
98888555949.wav,179,3014,Joshua
95430244254.wav,207,3003,Michelle
97624111941.wav,152,3011,Amanda
97874734757.wav,321,3011,Lisa
91134996380.wav,28,3012,Karen
93117019416.wav,188,3017,Nancy
92493138445.wav,273,3029,Joshua
98930493595.wav,44,3015,Michelle
96302664081.wav,230,3017,Emily
94231660268.wav,377,3040,Elizabeth
91539596687.wav,307,3036,Joseph
95036159326.wav,392,3017,Michael
97753475313.wav,32,3014,Mary
94751052841.wav,180,3006,Carol
95889038715.wav,370,3048,Charles
97828885838.wav,168,3047,Barbara
93973502667.wav,394,3021,Richard
97493541349.wav,221,3005,Andrew
93758239997.wav,4,3042,Elizabeth
99488281862.wav,134,3001,Christopher
97672947741.wav,184,3000,Linda
95618550805.wav,3,3036,Ashley
91625980562.wav,119,3023,Robert
93924751340.wav,355,3019,Daniel
99537774879.wav,146,3023,Melissa
96333680464.wav,375,3047,Joseph
91058905302.wav,260,3017,Barbara
95778744480.wav,315,3042,Mary
99941329155.wav,163,3023,Steven
98644400909.wav,210,3017,Betty
95598731857.wav,373,3042,Andrew
99515540801.wav,386,3041,Patricia
98015562779.wav,397,3048,Steven
95841486259.wav,29,3048,Kevin
95033579778.wav,216,3008,Susan
93355161431.wav,202,3035,Barbara
95607597824.wav,118,3046,Michelle
95921263437.wav,224,3015,Michelle
91231623772.wav,89,3000,Kimberly
97493883112.wav,285,3046,Sandra
93660821586.wav,395,3028,Michael
90854922290.wav,379,3034,Susan
96366882150.wav,20,3032,Betty
92712098620.wav,146,3013,Michael
91537587507.wav,273,3041,Kevin
96300130256.wav,297,3035,Joseph
93050281224.wav,235,3003,Mark
94249086126.wav,129,3042,Margaret
97888166570.wav,315,3005,Mark
94113448033.wav,348,3022,Patricia
99475759928.wav,30,3045,Jennifer
93002602149.wav,76,3026,Kevin
90566641022.wav,262,3020,Richard
99986135883.wav,239,3038,Daniel
91656640823.wav,296,3029,Carol
92484027126.wav,76,3042,William
92289121980.wav,242,3023,Matthew
94703624125.wav,111,3021,Nancy
98027474010.wav,11,3041,William
90822500293.wav,392,3041,Barbara
98061270051.wav,26,3031,Nancy
94908927152.wav,84,3014,Karen
96334868593.wav,115,3018,Betty
93607966156.wav,142,3000,Margaret
91847209282.wav,239,3025,Jennifer
91196849515.wav,393,3033,Nancy
93096993184.wav,304,3020,Charles
98962033362.wav,311,3033,Emily
94148521152.wav,118,3017,Michael
98531308988.wav,6,3013,Jennifer
96710762090.wav,251,3000,Sarah
96708680181.wav,13,3003,Melissa
95278046240.wav,141,3033,Barbara
90811082238.wav,287,3040,William
97281893675.wav,103,3028,Donald
99081340575.wav,275,3042,Mark
92973760320.wav,91,3003,Emily
98000818784.wav,107,3040,Melissa
91865228387.wav,239,3014,George
96776323650.wav,264,3011,William
90928526886.wav,225,3045,Kimberly
99502000660.wav,9,3028,Kimberly
93213984998.wav,311,3035,Anthony
99200748211.wav,130,3030,Brian
96682495231.wav,61,3030,John
90111187348.wav,182,3019,Karen
95769474946.wav,7,3040,Steven
90570331542.wav,182,3042,Kimberly
96555531607.wav,384,3013,David
99132927255.wav,254,3034,Linda
92073268825.wav,56,3027,Jessica
90545090018.wav,264,3049,Betty
94432728561.wav,252,3035,Barbara
95992458875.wav,295,3002,Emily
96087271307.wav,155,3003,Lisa
94814744258.wav,378,3042,Andrew
99825138904.wav,178,3036,Daniel
98894247461.wav,294,3041,Patricia
90556902587.wav,88,3002,Elizabeth
97791084253.wav,307,3018,Jennifer
90612341345.wav,128,3038,Barbara
98037825803.wav,159,3003,Barbara
92443835850.wav,258,3007,Kenneth
92232709543.wav,345,3012,David
96877928278.wav,113,3018,Carol
91842045257.wav,331,3005,Sandra
90259980502.wav,153,3006,Sandra
99947065486.wav,291,3014,Robert
99703189817.wav,266,3019,Kenneth
98598529248.wav,272,3005,Betty
96668055896.wav,148,3012,Steven
94294595654.wav,218,3043,Brian
96590569299.wav,11,3013,Paul
98291636433.wav,247,3024,George
97678136143.wav,150,3046,Ashley
94076597536.wav,62,3029,Mary
94726466638.wav,18,3049,Melissa
