file_name,duration(seconds),call_id,agent_name
92441830839.wav,63,3013,Brian
98244395393.wav,14,3005,Sandra
93635815469.wav,205,3018,Elizabeth
93100037673.wav,221,3050,Joshua
90489511805.wav,10,3018,Ashley
94359019959.wav,273,3009,Kenneth
90720292090.wav,28,3046,Kimberly
94828899973.wav,125,3002,David
95342069096.wav,79,3035,David
99872397910.wav,168,3050,Amanda
92045198173.wav,74,3023,Mary
91086889044.wav,178,3043,Susan
91260217411.wav,19,3002,Linda
95848068759.wav,399,3048,Mark
92830339803.wav,351,3022,Donna
99639884645.wav,109,3020,Richard
96234470603.wav,82,3010,Mary
92297087385.wav,105,3021,Mary
94859700649.wav,91,3027,Steven
92427079321.wav,125,3017,Donna
94836927581.wav,353,3013,Betty
99995610330.wav,1,3005,Christopher
98762230813.wav,288,3027,Dorothy
93708953006.wav,262,3032,Anthony
94583184054.wav,306,3048,Karen
95053235710.wav,151,3021,Jennifer
99115454582.wav,209,3004,Donna
90580574417.wav,17,3014,Sandra
95760617993.wav,141,3010,Jessica
95559817976.wav,145,3011,Emily
93889457567.wav,208,3044,George
99566199549.wav,277,3040,Christopher
95341698228.wav,261,3008,Robert
94925164275.wav,247,3035,Betty
94227050764.wav,381,3001,Elizabeth
99021745802.wav,332,3014,Joseph
98784010725.wav,86,3050,Joseph
96954105979.wav,289,3039,Melissa
96222433349.wav,320,3000,Sandra
96250554326.wav,203,3041,Charles
99512549269.wav,305,3009,Karen
94511811621.wav,376,3024,Lisa
91974879629.wav,145,3003,Paul
94896262271.wav,266,3029,Anthony
94413894840.wav,216,3027,Donna
94545978388.wav,175,3018,Matthew
94996433564.wav,87,3019,Mary
90035215801.wav,83,3015,Emily
99828400001.wav,197,3000,Thomas
96397945580.wav,91,3017,William
92230251159.wav,295,3044,Paul
97808452876.wav,14,3036,Jennifer
93853713890.wav,245,3030,Dorothy
93039179044.wav,80,3015,Michelle
90420471410.wav,95,3031,Sarah
94945946807.wav,57,3032,Ashley
94402207953.wav,199,3022,Jessica
91181247159.wav,284,3033,Christopher
94285370868.wav,336,3018,Robert
92288534141.wav,197,3048,Anthony
90125928054.wav,256,3013,Sarah
99864771435.wav,255,3011,Amanda
90088149914.wav,299,3042,Charles
94375412374.wav,259,3026,Margaret
91200666476.wav,202,3001,Jessica
91519701913.wav,293,3020,Ashley
98088408843.wav,135,3016,Christopher
99267449885.wav,223,3022,Donald
97634777387.wav,381,3033,Dorothy
90496142786.wav,312,3029,Margaret
90156300626.wav,12,3000,Susan
98709356189.wav,66,3029,Emily
92000060005.wav,66,3018,Mark
95310563699.wav,57,3004,Kimberly
97260931865.wav,4,3036,Amanda
97131013318.wav,207,3024,Joseph
90122870550.wav,71,3037,Margaret
97400983163.wav,385,3048,Thomas
97167535372.wav,81,3006,Michelle
92884512912.wav,232,3010,Amanda
98991515127.wav,397,3014,Patricia
94446267871.wav,338,3036,Lisa
96629195359.wav,129,3004,Susan
96487539468.wav,128,3043,Patricia
90043930638.wav,284,3006,Amanda
93784278194.wav,199,3024,Joshua
92546865055.wav,243,3034,Donna
92260596481.wav,297,3006,Emily
91188807842.wav,58,3021,Paul
97035117250.wav,54,3005,Joseph
98937187955.wav,238,3026,Richard
92179861472.wav,196,3014,Nancy
94332410775.wav,31,3048,David
90719595632.wav,313,3019,Ashley
96788574958.wav,240,3025,Elizabeth
98052005717.wav,96,3038,Christopher
96710017934.wav,346,3036,David
92188588462.wav,68,3019,Richard
95727670511.wav,278,3008,Charles
97797514428.wav,10,3032,Kenneth
